Question,Answer
Who directed the episode titled The Trip (1)?,Tom Cherones
Who directed the episode titled The Trip (2)?,Tom Cherones
Who directed the episode titled The Pitch?,Tom Cherones
Who directed the episode titled The Ticket?,Tom Cherones
Who directed the episode titled The Wallet (1)?,Tom Cherones
Who directed the episode titled The Watch (2)?,Tom Cherones
Who directed the episode titled The Bubble Boy?,Tom Cherones
Who directed the episode titled The Cheever Letters?,Tom Cherones
Who directed the episode titled The Opera?,Tom Cherones
Who directed the episode titled The Virgin?,Tom Cherones
Who directed the episode titled The Contest?,Tom Cherones
Who directed the episode titled The Airport?,Tom Cherones
Who directed the episode titled The Pick?,Tom Cherones
Who directed the episode titled The Movie?,Tom Cherones
Who directed the episode titled The Visa?,Tom Cherones
Who directed the episode titled The Shoes?,Tom Cherones
Who directed the episode titled The Outing?,Tom Cherones
Who directed the episode titled The Old Man?,Tom Cherones
Who directed the episode titled The Implant?,Tom Cherones
Who directed the episode titled The Junior Mint?,Tom Cherones
Who directed the episode titled The Smelly Car?,Tom Cherones
Who directed the episode titled The Handicap Spot?,Tom Cherones
Who directed the episode titled The Pilot (1)?,Tom Cherones
Who directed the episode titled The Pilot (2)?,Tom Cherones
Who directed the episode titled The Mango?,Tom Cherones
Who directed the episode titled The Puffy Shirt?,Tom Cherones
Who directed the episode titled The Glasses?,Tom Cherones
Who directed the episode titled The Sniffing Accountant?,Tom Cherones
Who directed the episode titled The Bris?,Tom Cherones
Who directed the episode titled The Lip Reader?,Tom Cherones
Who directed the episode titled The Non-Fat Yogurt?,Tom Cherones
Who directed the episode titled The Barber?,Tom Cherones
Who directed the episode titled The Masseuse?,Tom Cherones
Who directed the episode titled The Cigar Store Indian?,Tom Cherones
Who directed the episode titled The Conversion?,Tom Cherones
Who directed the episode titled The Stall?,Tom Cherones
Who directed the episode titled The Dinner Party?,Tom Cherones
Who directed the episode titled The Marine Biologist?,Tom Cherones
Who directed the episode titled The Pie?,Tom Cherones
Who directed the episode titled The Stand-In?,Tom Cherones
Who directed the episode titled The Wife?,Tom Cherones
Who directed the episode titled The Raincoats?,Tom Cherones
Who directed the episode titled The Fire?,Tom Cherones
Who directed the episode titled The Hamptons?,Tom Cherones
Who directed the episode titled The Opposite?,Tom Cherones
Who directed the episode titled The Chaperone?,Andy Ackerman
Who directed the episode titled The Big Salad?,Andy Ackerman
Who directed the episode titled The Pledge Drive?,Andy Ackerman
Who directed the episode titled The Chinese Woman?,Andy Ackerman
Who directed the episode titled The Couch?,Andy Ackerman
Who directed the episode titled The Gymnast?,Andy Ackerman
Who directed the episode titled The Soup?,Andy Ackerman
Who directed the episode titled The Mom &amp; Pop Store?,Andy Ackerman
Who directed the episode titled The Secretary?,David Owen Trainor
Who directed the episode titled The Race?,Andy Ackerman
Who directed the episode titled The Switch?,Andy Ackerman
Who directed the episode titled The Label Maker?,Andy Ackerman
Who directed the episode titled The Scofflaw?,Andy Ackerman
Who directed the episode titled The Beard?,Andy Ackerman
Who directed the episode titled The Kiss Hello?,Andy Ackerman
Who directed the episode titled The Doorman?,Andy Ackerman
Who directed the episode titled The Jimmy?,Andy Ackerman
Who directed the episode titled The Doodle?,Andy Ackerman
Who directed the episode titled The Fusilli Jerry?,Andy Ackerman
Who directed the episode titled The Diplomat's Club?,Andy Ackerman
Who directed the episode titled The Face Painter?,Andy Ackerman
Who directed the episode titled The Understudy?,Andy Ackerman
Who directed the episode titled The Engagement?,Andy Ackerman
Who directed the episode titled The Postponement?,Andy Ackerman
Who directed the episode titled The Maestro?,Andy Ackerman
Who directed the episode titled The Wink?,Andy Ackerman
Who directed the episode titled The Hot Tub?,Andy Ackerman
Who directed the episode titled The Soup Nazi?,Andy Ackerman
Who directed the episode titled The Secret Code?,Andy Ackerman
Who directed the episode titled The Pool Guy?,Andy Ackerman
Who directed the episode titled The Sponge?,Andy Ackerman
Who directed the episode titled The Gum?,Andy Ackerman
Who directed the episode titled The Rye?,Andy Ackerman
Who directed the episode titled The Caddy?,Andy Ackerman
Who directed the episode titled The Seven?,Andy Ackerman
Who directed the episode titled The Cadillac (1)?,Andy Ackerman
Who directed the episode titled The Cadillac (2)?,Andy Ackerman
Who directed the episode titled The Shower Head?,Andy Ackerman
Who directed the episode titled The Doll?,Andy Ackerman
Who directed the episode titled The Friars Club (a.k.a. The Gypsies)?,Andy Ackerman
Who directed the episode titled The Wig Master?,Andy Ackerman
Who directed the episode titled The Calzone?,Andy Ackerman
Who directed the episode titled The Bottle Deposit (1)?,Andy Ackerman
Who directed the episode titled The Bottle Deposit (2)?,Andy Ackerman
Who directed the episode titled The Wait Out?,Andy Ackerman
Who directed the episode titled The Invitations?,Andy Ackerman
Who directed the episode titled The Foundation?,Andy Ackerman
Who directed the episode titled The Soul Mate?,Andy Ackerman
Who directed the episode titled The Bizarro Jerry?,Andy Ackerman
Who directed the episode titled The Little Kicks?,Andy Ackerman
Who directed the episode titled The Package?,Andy Ackerman
Who directed the episode titled The Fatigues?,Andy Ackerman
Who directed the episode titled The Checks?,Andy Ackerman
Who directed the episode titled The Chicken Roaster?,Andy Ackerman
Who directed the episode titled The Abstinence?,Andy Ackerman
Who directed the episode titled The Andrea Doria?,Andy Ackerman
Who directed the episode titled The Little Jerry?,Andy Ackerman
Who directed the episode titled The Money?,Andy Ackerman
Who directed the episode titled The Comeback?,David Owen Trainor
Who directed the episode titled The Van Buren Boys?,Andy Ackerman
Who directed the episode titled The Susie?,Andy Ackerman
Who directed the episode titled The Pothole?,Andy Ackerman
Who directed the episode titled The English Patient?,Andy Ackerman
Who directed the episode titled The Nap?,Andy Ackerman
Who directed the episode titled The Yada Yada?,Andy Ackerman
Who directed the episode titled The Millennium?,Andy Ackerman
Who directed the episode titled The Muffin Tops?,Andy Ackerman
Who directed the episode titled The Summer of George?,Andy Ackerman
Who directed the episode titled The Butter Shave?,Andy Ackerman
Who directed the episode titled The Voice?,Andy Ackerman
Who directed the episode titled The Serenity Now?,Andy Ackerman
Who directed the episode titled The Blood?,Andy Ackerman
Who directed the episode titled The Junk Mail?,Andy Ackerman
Who directed the episode titled The Merv Griffin Show?,Andy Ackerman
Who directed the episode titled The Slicer?,Andy Ackerman
Who directed the episode titled The Betrayal?,Andy Ackerman
Who directed the episode titled The Apology?,Andy Ackerman
Who directed the episode titled The Strike?,Andy Ackerman
Who directed the episode titled The Dealership?,Andy Ackerman
Who directed the episode titled The Reverse Peephole (a.k.a. The Man Fur)?,Andy Ackerman
Who directed the episode titled The Cartoon?,Andy Ackerman
Who directed the episode titled The Strongbox?,Andy Ackerman
Who directed the episode titled The Wizard?,Andy Ackerman
Who directed the episode titled The Burning?,Andy Ackerman
Who directed the episode titled The Bookstore?,Andy Ackerman
Who directed the episode titled The Frogger?,Andy Ackerman
Who directed the episode titled The Maid?,Andy Ackerman
Who directed the episode titled The Puerto Rican Day?,Andy Ackerman
Who directed the episode titled The Finale?,Andy Ackerman
