Question,Answer
What is the season and episode number of the episode titled The Junior Mint?,"Season 4, Episode 20"
What is the season and episode number of the episode titled The Smelly Car?,"Season 4, Episode 21"
What is the season and episode number of the episode titled The Handicap Spot?,"Season 4, Episode 22"
What is the season and episode number of the episode titled The Pilot (1)?,"Season 4, Episode 23"
What is the season and episode number of the episode titled The Pilot (2)?,"Season 4, Episode 24"
What is the season and episode number of the episode titled The Mango?,"Season 5, Episode 1"
What is the season and episode number of the episode titled The Puffy Shirt?,"Season 5, Episode 2"
What is the season and episode number of the episode titled The Glasses?,"Season 5, Episode 3"
What is the season and episode number of the episode titled The Sniffing Accountant?,"Season 5, Episode 4"
What is the season and episode number of the episode titled The Bris?,"Season 5, Episode 5"
What is the season and episode number of the episode titled The Lip Reader?,"Season 5, Episode 6"
What is the season and episode number of the episode titled The Non-Fat Yogurt?,"Season 5, Episode 7"
What is the season and episode number of the episode titled The Barber?,"Season 5, Episode 8"
What is the season and episode number of the episode titled The Masseuse?,"Season 5, Episode 9"
What is the season and episode number of the episode titled The Cigar Store Indian?,"Season 5, Episode 10"
What is the season and episode number of the episode titled The Conversion?,"Season 5, Episode 11"
What is the season and episode number of the episode titled The Stall?,"Season 5, Episode 12"
What is the season and episode number of the episode titled The Dinner Party?,"Season 5, Episode 13"
What is the season and episode number of the episode titled The Marine Biologist?,"Season 5, Episode 14"
What is the season and episode number of the episode titled The Pie?,"Season 5, Episode 15"
What is the season and episode number of the episode titled The Stand-In?,"Season 5, Episode 16"
What is the season and episode number of the episode titled The Wife?,"Season 5, Episode 17"
What is the season and episode number of the episode titled The Raincoats?,"Season 5, Episode 18"
What is the season and episode number of the episode titled The Fire?,"Season 5, Episode 20"
What is the season and episode number of the episode titled The Hamptons?,"Season 5, Episode 21"
What is the season and episode number of the episode titled The Opposite?,"Season 5, Episode 22"
What is the season and episode number of the episode titled The Chaperone?,"Season 6, Episode 1"
What is the season and episode number of the episode titled The Big Salad?,"Season 6, Episode 2"
What is the season and episode number of the episode titled The Pledge Drive?,"Season 6, Episode 3"
What is the season and episode number of the episode titled The Chinese Woman?,"Season 6, Episode 4"
What is the season and episode number of the episode titled The Couch?,"Season 6, Episode 5"
What is the season and episode number of the episode titled The Gymnast?,"Season 6, Episode 6"
What is the season and episode number of the episode titled The Soup?,"Season 6, Episode 7"
What is the season and episode number of the episode titled The Mom &amp; Pop Store?,"Season 6, Episode 8"
What is the season and episode number of the episode titled The Secretary?,"Season 6, Episode 9"
What is the season and episode number of the episode titled The Race?,"Season 6, Episode 10"
What is the season and episode number of the episode titled The Switch?,"Season 6, Episode 11"
What is the season and episode number of the episode titled The Label Maker?,"Season 6, Episode 12"
What is the season and episode number of the episode titled The Scofflaw?,"Season 6, Episode 13"
What is the season and episode number of the episode titled The Beard?,"Season 6, Episode 16"
What is the season and episode number of the episode titled The Kiss Hello?,"Season 6, Episode 17"
What is the season and episode number of the episode titled The Doorman?,"Season 6, Episode 18"
What is the season and episode number of the episode titled The Jimmy?,"Season 6, Episode 19"
What is the season and episode number of the episode titled The Doodle?,"Season 6, Episode 20"
What is the season and episode number of the episode titled The Fusilli Jerry?,"Season 6, Episode 21"
What is the season and episode number of the episode titled The Diplomat's Club?,"Season 6, Episode 22"
What is the season and episode number of the episode titled The Face Painter?,"Season 6, Episode 23"
What is the season and episode number of the episode titled The Understudy?,"Season 6, Episode 24"
What is the season and episode number of the episode titled The Engagement?,"Season 7, Episode 1"
What is the season and episode number of the episode titled The Postponement?,"Season 7, Episode 2"
What is the season and episode number of the episode titled The Maestro?,"Season 7, Episode 3"
What is the season and episode number of the episode titled The Wink?,"Season 7, Episode 4"
What is the season and episode number of the episode titled The Hot Tub?,"Season 7, Episode 5"
What is the season and episode number of the episode titled The Soup Nazi?,"Season 7, Episode 6"
What is the season and episode number of the episode titled The Secret Code?,"Season 7, Episode 7"
What is the season and episode number of the episode titled The Pool Guy?,"Season 7, Episode 8"
What is the season and episode number of the episode titled The Sponge?,"Season 7, Episode 9"
What is the season and episode number of the episode titled The Gum?,"Season 7, Episode 10"
What is the season and episode number of the episode titled The Rye?,"Season 7, Episode 11"
What is the season and episode number of the episode titled The Caddy?,"Season 7, Episode 12"
What is the season and episode number of the episode titled The Seven?,"Season 7, Episode 13"
What is the season and episode number of the episode titled The Cadillac (1)?,"Season 7, Episode 14"
What is the season and episode number of the episode titled The Cadillac (2)?,"Season 7, Episode 15"
What is the season and episode number of the episode titled The Shower Head?,"Season 7, Episode 16"
What is the season and episode number of the episode titled The Doll?,"Season 7, Episode 17"
What is the season and episode number of the episode titled The Friars Club (a.k.a. The Gypsies)?,"Season 7, Episode 18"
What is the season and episode number of the episode titled The Wig Master?,"Season 7, Episode 19"
What is the season and episode number of the episode titled The Calzone?,"Season 7, Episode 20"
What is the season and episode number of the episode titled The Bottle Deposit (1)?,"Season 7, Episode 21"
What is the season and episode number of the episode titled The Bottle Deposit (2)?,"Season 7, Episode 22"
What is the season and episode number of the episode titled The Wait Out?,"Season 7, Episode 23"
What is the season and episode number of the episode titled The Invitations?,"Season 7, Episode 24"
What is the season and episode number of the episode titled The Foundation?,"Season 8, Episode 1"
What is the season and episode number of the episode titled The Soul Mate?,"Season 8, Episode 2"
What is the season and episode number of the episode titled The Bizarro Jerry?,"Season 8, Episode 3"
What is the season and episode number of the episode titled The Little Kicks?,"Season 8, Episode 4"
What is the season and episode number of the episode titled The Package?,"Season 8, Episode 5"
What is the season and episode number of the episode titled The Fatigues?,"Season 8, Episode 6"
What is the season and episode number of the episode titled The Checks?,"Season 8, Episode 7"
What is the season and episode number of the episode titled The Chicken Roaster?,"Season 8, Episode 8"
What is the season and episode number of the episode titled The Abstinence?,"Season 8, Episode 9"
What is the season and episode number of the episode titled The Andrea Doria?,"Season 8, Episode 10"
What is the season and episode number of the episode titled The Little Jerry?,"Season 8, Episode 11"
What is the season and episode number of the episode titled The Money?,"Season 8, Episode 12"
What is the season and episode number of the episode titled The Comeback?,"Season 8, Episode 13"
What is the season and episode number of the episode titled The Van Buren Boys?,"Season 8, Episode 14"
What is the season and episode number of the episode titled The Susie?,"Season 8, Episode 15"
What is the season and episode number of the episode titled The Pothole?,"Season 8, Episode 16"
What is the season and episode number of the episode titled The English Patient?,"Season 8, Episode 17"
What is the season and episode number of the episode titled The Nap?,"Season 8, Episode 18"
What is the season and episode number of the episode titled The Yada Yada?,"Season 8, Episode 19"
What is the season and episode number of the episode titled The Millennium?,"Season 8, Episode 20"
What is the season and episode number of the episode titled The Muffin Tops?,"Season 8, Episode 21"
What is the season and episode number of the episode titled The Summer of George?,"Season 8, Episode 22"
What is the season and episode number of the episode titled The Butter Shave?,"Season 9, Episode 1"
What is the season and episode number of the episode titled The Voice?,"Season 9, Episode 2"
What is the season and episode number of the episode titled The Serenity Now?,"Season 9, Episode 3"
What is the season and episode number of the episode titled The Blood?,"Season 9, Episode 4"
What is the season and episode number of the episode titled The Junk Mail?,"Season 9, Episode 5"
What is the season and episode number of the episode titled The Merv Griffin Show?,"Season 9, Episode 6"
What is the season and episode number of the episode titled The Slicer?,"Season 9, Episode 7"
What is the season and episode number of the episode titled The Betrayal?,"Season 9, Episode 8"
What is the season and episode number of the episode titled The Apology?,"Season 9, Episode 9"
What is the season and episode number of the episode titled The Strike?,"Season 9, Episode 10"
What is the season and episode number of the episode titled The Dealership?,"Season 9, Episode 11"
What is the season and episode number of the episode titled The Reverse Peephole (a.k.a. The Man Fur)?,"Season 9, Episode 12"
What is the season and episode number of the episode titled The Cartoon?,"Season 9, Episode 13"
What is the season and episode number of the episode titled The Strongbox?,"Season 9, Episode 14"
What is the season and episode number of the episode titled The Wizard?,"Season 9, Episode 15"
What is the season and episode number of the episode titled The Burning?,"Season 9, Episode 16"
What is the season and episode number of the episode titled The Bookstore?,"Season 9, Episode 17"
What is the season and episode number of the episode titled The Frogger?,"Season 9, Episode 18"
What is the season and episode number of the episode titled The Maid?,"Season 9, Episode 19"
What is the season and episode number of the episode titled The Puerto Rican Day?,"Season 9, Episode 20"
What is the season and episode number of the episode titled The Finale?,"Season 9, Episode 23"
