Question,Answer
Who said the quote: 'You what I'll do next time? I'll hide it so nobody can find it.'?,Morty Seinfeld
Who said the quote: 'Welcome to Florida!'?,Morty Seinfeld
"Who said the quote: 'So, what took you so long?'?",Morty Seinfeld
Who said the quote: 'I don't know why you had to rent a car. We would have picked you up.'?,Helen Seinfeld
Who said the quote: 'You could have used our car.'?,Helen Seinfeld
Who said the quote: 'What's wrong with our car?'?,Helen Seinfeld
Who said the quote: 'We don't use it.'?,Helen Seinfeld
Who said the quote: 'What are you talking? We use it.'?,Morty Seinfeld
"Who said the quote: 'If you were using it, we wouldn't use it.'?",Helen Seinfeld
Who said the quote: 'How much is a rent-a-car?'?,Helen Seinfeld
Who said the quote: 'What? You're crazy.'?,Helen Seinfeld
Who said the quote: 'Plus the insurance.'?,Morty Seinfeld
Who said the quote: 'How could you not get the insurance?'?,Morty Seinfeld
Who said the quote: 'We'll pay for the car.'?,Helen Seinfeld
Who said the quote: 'Morty. (asking him to back her. He doesn't)'?,Helen Seinfeld
"Who said the quote: 'You don't need the air conditioner. So, you have your speech all ready?'?",Helen Seinfeld
"Who said the quote: 'Of course, they're giving a testimonial for your father. You could do your comic routines.'?",Helen Seinfeld
Who said the quote: 'The lake is real.'?,Helen Seinfeld
Who said the quote: 'Are you kidding? They built the lake.'?,Morty Seinfeld
Who said the quote: 'But it's real. It's water.'?,Helen Seinfeld
Who said the quote: 'Where are you going with those?'?,Helen Seinfeld
Who said the quote: 'Don't sleep in there. You can you use the bedroom.'?,Helen Seinfeld
Who said the quote: 'I'm up at 6 o'clock in the morning.'?,Helen Seinfeld
Who said the quote: 'We don't even sleep.'?,Helen Seinfeld
"Who said the quote: 'But this is sofa bed, you'll be uncomfortable.'?",Helen Seinfeld
Who said the quote: 'Why should I be comfortable?'?,Morty Seinfeld
"Who said the quote: 'Don't worry, he's comfortable.'?",Helen Seinfeld
Who said the quote: 'I'll sleep standing up. I'll be fine.'?,Morty Seinfeld
Who said the quote: 'Will you stop?'?,Helen Seinfeld
"Who said the quote: 'Jerry, (asking Jerry to go in the kitchen so Elaine won't hear) Jerry. You don't have to stay on the couch on my account. The two of you could stay in there together.'?",Helen Seinfeld
Who said the quote: 'Well I tought that...'?,Helen Seinfeld
Who said the quote: '(quieter) What happened?'?,Helen Seinfeld
Who said the quote: 'What does that mean?'?,Helen Seinfeld
Who said the quote: '(comes to the kitchen and with a loud voice) Why are you whispering?'?,Morty Seinfeld
Who said the quote: 'Elaine...'?,Helen Seinfeld
Who said the quote: '(still loud) What about her?'?,Morty Seinfeld
Who said the quote: '(Morty goes on louder! Did he ever whisper in any episode? -) Why do you need more friends? You've got plenty of friends.'?,Morty Seinfeld
Who said the quote: 'He's an idealist.'?,Helen Seinfeld
Who said the quote: 'What the hell are you looking for?'?,Morty Seinfeld
Who said the quote: 'He likes looking.'?,Helen Seinfeld
Who said the quote: 'So look.'?,Morty Seinfeld
Who said the quote: 'But how long can you look?'?,Helen Seinfeld
Who said the quote: 'You know your father wouldn't say so but he's really glad you came.'?,Helen Seinfeld
Who said the quote: 'This is a big thing for him. Outgoing president of the condo association.'?,Helen Seinfeld
Who said the quote: 'Aha!'?,Morty Seinfeld
Who said the quote: '(to Jerry) You remember Jack and Doris?'?,Morty Seinfeld
"Who said the quote: 'So Jerry, you came all the way down here for this?'?",Jack Klompus
Who said the quote: 'Scuba diving? Who's going scuba diving?'?,Helen Seinfeld
Who said the quote: 'What do you have to go scuba diving for?'?,Helen Seinfeld
Who said the quote: 'For fun?'?,Helen Seinfeld
Who said the quote: 'Jack have some spong cake.'?,Morty Seinfeld
"Who said the quote: 'No. thanks, no.'?",Jack Klompus
Who said the quote: 'Jack is emceeing tomorrow. He's in charge of the whole thing.'?,Morty Seinfeld
"Who said the quote: 'So Jerry, your mother told me you're gonna do one your little comedy skits tomorrow?'?",Jack Klompus
Who said the quote: 'No? Listen Morty you wanna settle up for last night? (Morty nods) All right. I owe you 19.45$ (he gets his checks book and a pen from his pocket).'?,Jack Klompus
Who said the quote: 'What did you have? You had the minute steak?'?,Morty Seinfeld
Who said the quote: 'Yeah.'?,Jack Klompus
Who said the quote: 'Did you have a coke or what?'?,Morty Seinfeld
Who said the quote: 'I did NOT have a coke.'?,Jack Klompus
Who said the quote: 'Somebody had a coke.'?,Morty Seinfeld
Who said the quote: 'Oh I had a coke.'?,Helen Seinfeld
Who said the quote: 'So that's 17.10$ and the tax and the tip.'?,Jack Klompus
Who said the quote: 'All right. Make it 20 bucks.'?,Morty Seinfeld
"Who said the quote: 'It's 19.45$, Morty. (he gives him the check)'?",Jack Klompus
Who said the quote: '19.45$ ?'?,Morty Seinfeld
"Who said the quote: 'See? You know your father. He can't get a write to the penny, but that's why he was such a good president.'?",Jack Klompus
Who said the quote: 'This pen?'?,Jack Klompus
Who said the quote: 'This is an astronaut pen. It writes upside down. They use this in space.'?,Jack Klompus
Who said the quote: 'Oh it was a gift.'?,Jack Klompus
Who said the quote: 'Take the pen.'?,Jack Klompus
Who said the quote: 'Go ahead.'?,Jack Klompus
"Who said the quote: 'Come on, take the pen!'?",Jack Klompus
Who said the quote: 'Do me a personal favor!'?,Jack Klompus
Who said the quote: 'Take the pen!'?,Jack Klompus
Who said the quote: 'Take the pen!'?,Jack Klompus
Who said the quote: 'Positive! Take the pen!'?,Jack Klompus
"Who said the quote: 'Jack, what are you doing?'?",Helen Seinfeld
Who said the quote: 'Stop it!'?,Jack Klompus
Who said the quote: 'Come on!'?,Jack Klompus
Who said the quote: '(as soon as the door's closed) What did you take his pen for?'?,Helen Seinfeld
Who said the quote: 'You didn't have to take it.'?,Helen Seinfeld
Who said the quote: 'Oh my God! She's gotta make a big deal out of everything.'?,Morty Seinfeld
Who said the quote: 'Because you made such a big fuss about it.'?,Helen Seinfeld
Who said the quote: 'You shouldn't have said anything. What did you expect him to do? (the camera shows Elaine shaking her head at their dispute)'?,Helen Seinfeld
Who said the quote: 'He loves that pen.'?,Helen Seinfeld
Who said the quote: 'Oh come on!'?,Morty Seinfeld
"Who said the quote: 'He talks about it all the time. Every time he takes it out he goes on and on about how it writes upside down, how the astronauts use it.'?",Helen Seinfeld
Who said the quote: 'He didn't think you'd accpet.'?,Helen Seinfeld
Who said the quote: 'I know his wife. She has some mouth on her. She'll tell everyone in the condo now that you made him give you the pen. They're talking about it right now. (again we see Elaine smiling at their argument)'?,Helen Seinfeld
Who said the quote: 'Yes.'?,Helen Seinfeld
Who said the quote: 'He's not gonna return the pen. That's ridiculous.'?,Morty Seinfeld
"Who said the quote: 'Jack can afford to give away a pen with all his money. Believe me. He gives me a check for 19.45. He didn't have a Coke. Ho, ho, ho!'?",Morty Seinfeld
"Who said the quote: 'Stay on 95 South to Biscayne Boulevard. Then you make a left turn. Put you blinker on immediatly, there's an abutment there. Then you're gonna merge over very quickly, but stay on Biscayne. Don't get off Biscayne. You understand me?'?",Morty Seinfeld
Who said the quote: 'You're going underwater?'?,Helen Seinfeld
Who said the quote: 'What do you have to go underwater for? What's down there that's so special?'?,Helen Seinfeld
Who said the quote: 'What's the matter?'?,Helen Seinfeld
Who said the quote: 'What happened?'?,Helen Seinfeld
Who said the quote: '(to Jerry) I told you to let us sleep in there.'?,Helen Seinfeld
Who said the quote: 'So stay home.'?,Helen Seinfeld
Who said the quote: 'Don't go.'?,Helen Seinfeld
Who said the quote: 'Maybe you should see a doctor.'?,Morty Seinfeld
"Who said the quote: 'No, we'll stay in there.'?",Helen Seinfeld
Who said the quote: 'Nobody uses it.'?,Morty Seinfeld
"Who said the quote: 'Oh Jerry, don't talk crazy.'?",Helen Seinfeld
Who said the quote: 'You're hot?'?,Helen Seinfeld
Who said the quote: 'I don't even know how to work it.'?,Helen Seinfeld
Who said the quote: 'I keep telling her it's like an oven in here.'?,Morty Seinfeld
Who said the quote: 'Oh stop worrying so much about how you look.'?,Helen Seinfeld
Who said the quote: 'How did you know that?'?,Helen Seinfeld
Who said the quote: 'Blanche?'?,Helen Seinfeld
Who said the quote: 'What did Blanche say?'?,Helen Seinfeld
Who said the quote: 'He gave him the pen.'?,Morty Seinfeld
Who said the quote: 'Morty.'?,Helen Seinfeld
Who said the quote: 'Is that what she said?'?,Helen Seinfeld
Who said the quote: 'Blanche.'?,Helen Seinfeld
Who said the quote: 'Hello? Oh hello Gussy. What? Jerry wouldn't do that. Jack gave it to him. All he said was he liked it. I mean nobody put a gun to his head. (to Jerry) You're giving him back that pen. (She continues the discussion with Gussy but we don't hear it.)'?,Helen Seinfeld
Who said the quote: '(Morty gets up) Oh! I forgot all about it.'?,Morty Seinfeld
Who said the quote: 'How the hell do you work this thing?'?,Morty Seinfeld
Who said the quote: 'Maybe you shouldn't go tonight.'?,Helen Seinfeld
Who said the quote: 'But your back hurts.'?,Helen Seinfeld
Who said the quote: 'Maybe a couple of muscle relaxers would help.'?,Morty Seinfeld
Who said the quote: 'No. I'm fine.'?,Helen Seinfeld
Who said the quote: 'No.'?,Helen Seinfeld
Who said the quote: 'Oh my God! What the hell happened to you?'?,Morty Seinfeld
Who said the quote: 'Your capillaries? Do you know what you look like?'?,Helen Seinfeld
Who said the quote: 'What happened to your eyes?'?,Helen Seinfeld
Who said the quote: 'With the instructor?'?,Helen Seinfeld
Who said the quote: 'I told you...'?,Helen Seinfeld
Who said the quote: 'Excuse me. (to Helen) Doris would like to borrow red your pocketbook to go with her shoes. (to Elaine on the floor) The shoes have to match the pocketbook. (to the others) What's she doing? Yoga?'?,Jack Klompus
Who said the quote: 'Morty you gotta hurry up. Get ready.'?,Jack Klompus
Who said the quote: 'We got plenty of time.'?,Morty Seinfeld
Who said the quote: '(to Jerry) What happened to you?'?,Jack Klompus
Who said the quote: 'It's from scuba diving.'?,Helen Seinfeld
Who said the quote: 'What's there to see underwater?'?,Jack Klompus
Who said the quote: 'You what?'?,Jack Klompus
Who said the quote: 'Well I mean...'?,Jack Klompus
Who said the quote: 'All right! (he smiles and take it)'?,Jack Klompus
"Who said the quote: 'You know Jack, you've got a hell of a nerve taking that kid's pen.'?",Morty Seinfeld
Who said the quote: 'Whose pen?'?,Jack Klompus
Who said the quote: 'His pen.'?,Morty Seinfeld
Who said the quote: 'This happens to be my pen.'?,Jack Klompus
Who said the quote: 'You didn't give it to him.'?,Morty Seinfeld
Who said the quote: 'What are you talking about? He pratically begged me for it.'?,Jack Klompus
Who said the quote: 'Where do you come off with this crap?'?,Morty Seinfeld
"Who said the quote: 'Listen, do you think I take everything everybody offers me? You offered me sponge cake yesterday. Did I take it?'?",Jack Klompus
Who said the quote: 'You said you didn't want it!'?,Morty Seinfeld
Who said the quote: 'Of course I wanted it! I love sponge cake!'?,Jack Klompus
Who said the quote: 'Then who the hell said you couldn't have any? I mean what the hell do I care whether you have sponge cake?'?,Morty Seinfeld
Who said the quote: 'Because I saw the look on your face last week when I took the scotch tape!'?,Jack Klompus
Who said the quote: 'Ahh! Ahh! So YOU got the scotch tape! I've been looking all over for it!'?,Morty Seinfeld
Who said the quote: 'Don't worry about it! I'll give it back!'?,Jack Klompus
Who said the quote: 'I don't want it!'?,Morty Seinfeld
Who said the quote: 'I don't want it!'?,Jack Klompus
"Who said the quote: 'You know Jack, do me a favor will you? Take the pen and the scotch tape, and get the hell out of here!'?",Morty Seinfeld
Who said the quote: 'Listen do you think I give a damn?'?,Jack Klompus
Who said the quote: 'Aah! (Jack leaves) The nerve of that guy! Taking back that pen. Well that's it for them.'?,Morty Seinfeld
Who said the quote: 'I have no use for either one of them. I don't even want them there tonight. (she still has the pocketbook in her hands)'?,Helen Seinfeld
"Who said the quote: 'yeah, he's supposed to be the emcee.'?",Morty Seinfeld
Who said the quote: 'Astronaut?'?,Morty Seinfeld
Who said the quote: 'Say it.'?,Helen Seinfeld
Who said the quote: 'Good. O.K. (the photographer walks away) What about last year when I took him to the hospital every day? Did he ever say thank you?'?,Morty Seinfeld
Who said the quote: 'What nervous?'?,Morty Seinfeld
Who said the quote: '(shouting as she imitates Marlon Brando) STELLA! STELLA!'?,Helen Seinfeld
Who said the quote: 'What are you talking? Jeffrey works for the parks department!'?,Morty Seinfeld
Who said the quote: '(laughing hypocritically till Stella walks away) I hate her like poison.'?,Helen Seinfeld
"Who said the quote: '(on the microphone) Ladies and gentlemen, as you know, every year, Phase Two of the Pines of Mark Gables honors the previous year president. And this year we are honoring Morty Seinfeld (the crowd applause and someone yells Morty!) A man who slept more hours on the job than Ronald Reagan.'?",Jack Klompus
Who said the quote: '(to Helen) Slept on the job? (she shushed him)'?,Morty Seinfeld
"Who said the quote: 'Being president of the condo is not easy. It requires hard work, dedication, and commitment, and unfortunately he possesses none of these qualities. (everyone laugh except Jerry, Helen, and Morty. Even Elaine who's still druggy)'?",Jack Klompus
Who said the quote: '(Morty complains again to Helen) He's joking.'?,Helen Seinfeld
Who said the quote: 'His administration did excel in one department the hiring of incompetents.'?,Jack Klompus
"Who said the quote: '(to Jack, loud) That's what you say.'?",Morty Seinfeld
"Who said the quote: 'But we do owe him a debt of gratitude because by not fixing the crack in the sidewalk, he put Mrs Ziven out of commission for a few weeks. (Morty is now the only one not laughing)'?",Jack Klompus
Who said the quote: '(loud) Tell them when you took my son's pen back. Tell them about that! (he gets up)'?,Morty Seinfeld
"Who said the quote: '(to the crowd) He gave my son a pen, and then he takes it back. Tell them about that!'?",Morty Seinfeld
Who said the quote: 'He gave it to me!'?,Jack Klompus
"Who said the quote: 'Come on. That's enough, sit down!'?",Morty Seinfeld
Who said the quote: 'I'm not sitting down!'?,Jack Klompus
Who said the quote: 'Ow! You broke my dental plate! (Jack is touching his dental plate while Morty reaches in Jack's pocket to get the pen) Doris! He broke my dental plate. You son-of-a-bitch! I'm gonna sue you. (he leaves the table and Morty follows him and continue arguing with him. Jerry now have the microphone in his hands and the crowd begins to think the ceremony is over.)'?,Jack Klompus
"Who said the quote: 'Jerry, do your act.'?",Helen Seinfeld
Who said the quote: 'They're all gonna leave.'?,Helen Seinfeld
Who said the quote: '(to Jerry) Do the dog routine.'?,Helen Seinfeld
"Who said the quote: '(to Jerry, happily) So we have you for five more days!'?",Helen Seinfeld
Who said the quote: 'I don't think so.'?,Helen Seinfeld
Who said the quote: 'Well I'll ask him when he gets up.'?,Helen Seinfeld
Who said the quote: 'Aw! Aw! Oh my back! Oh my back! It's that bar. Who the hell could sleep on that thing?'?,Morty Seinfeld
Who said the quote: 'I was very comfortable.'?,Helen Seinfeld
Who said the quote: 'It's in the constitution.'?,Helen Seinfeld
Who said the quote: '(to the chiro) Who are you?'?,Morty Seinfeld
Who said the quote: 'What are you kidding me?'?,Morty Seinfeld
Who said the quote: 'I cant eat fruit. It makes me incontinent.'?,Newman
Who said the quote: 'Hello Gina. Hello Jerry.'?,Newman
"Who said the quote: 'He cant hear you, you idiot. Why dont you just buy another one.'?",Newman
Who said the quote: 'I have a carpet sweeper you can use.'?,Newman
Who said the quote: 'It gets my rug clean.'?,Newman
"Who said the quote: 'Well, you should take a look at my rug then.'?",Newman
Who said the quote: 'Hello Jerry.'?,Newman
Who said the quote: 'I hope he stays this happy when he wakes up.'?,Newman
Who said the quote: 'No reason.'?,Newman
Who said the quote: 'Ill bring him up to date.'?,Newman
"Who said the quote: 'Oh, all the way up.'?",Newman
"Who said the quote: 'Well, it would take a hell of a lot. Because a friend is something you earn.'?",Newman
"Who said the quote: 'I dont care much for the beach. I freckle. . . . Is that a,..'?",Newman
"Who said the quote: 'Wow, where did you get that?'?",Newman
"Who said the quote: 'Boy, thats the full size.'?",Newman
Who said the quote: 'Can I have a bite?'?,Newman
Who said the quote: 'Just one bite?'?,Newman
Who said the quote: 'All right! All right. I wont say anything.'?,Newman
Who said the quote: 'I swear.'?,Newman
Who said the quote: 'On my mothers life.'?,Newman
"Who said the quote: 'Oooh,'?",Newman
"Who said the quote: 'Jerry, you better stop her or Ill tell.'?",Newman
"Who said the quote: 'He did it right in this bed, Martin. Right in front of you.'?",Newman
Who said the quote: 'It was disgusting.'?,Newman
Who said the quote: '(enters) KEITH HERNANDEZ?'?,Newman
Who said the quote: 'I despise him.'?,Newman
Who said the quote: 'Why? I'll tell you why...'?,Newman
"Who said the quote: 'No, you can't tell it ..'?",Newman
"Who said the quote: 'All right, tell it.'?",Newman
"Who said the quote: 'June 14, 1987.... Mets Phillies. We're enjoying a beautiful afternoon in the right field stands when a crucial Hernandez error to a five run Phillies ninth. Cost the Mets the game.'?",Newman
"Who said the quote: 'A second later, something happened that changed us in a deep and profound way front that day forward.'?",Newman
Who said the quote: 'Then I turned and the spit ricochet of him and it hit me.'?,Newman
Who said the quote: 'Well that's the way it happened.'?,Newman
Who said the quote: 'I'm leavin'. Jerry's a nut. (Exits)'?,Newman
"Who said the quote: 'June 14th, 1987. Mets Phillies. You made a big error. Cost the Mets the game. Then you're coming up the parking lot ramp.'?",Newman
Who said the quote: 'And then you spit on us.'?,Newman
"Who said the quote: 'Oh, yeah, right.'?",Newman
"Who said the quote: 'Wow, it was McDowell.'?",Newman
Who said the quote: 'He must have caught a glimpse of us when I poured that beer on his head.'?,Newman
Who said the quote: 'It was McDowell.'?,Newman
"Who said the quote: 'Yeah, I couldn't be sorrier. I uh.'?",Newman
Who said the quote: 'Me too.'?,Newman
Who said the quote: 'Never.'?,Newman
Who said the quote: 'Who's talking to you?'?,Newman
"Who said the quote: 'Well, I suppose if you got ten car lengths.'?",Newman
"Who said the quote: 'Hey George, nice hat.'?",Newman
Who said the quote: 'Can I try it on?'?,Newman
Who said the quote: 'Well sure it would.'?,Newman
"Who said the quote: 'Come on, let me try it on.'?",Newman
"Who said the quote: 'Stop it, George, stop it. I was defending your parking.'?",Newman
Who said the quote: 'Me either.'?,Newman
Who said the quote: 'But it's your house.'?,Newman
