Question,Answer
"Who said the quote: 'I know, I know. Listen, your stuff has to be done by now, why dont you just see if its dry?'?",George Costanza
"Who said the quote: 'No no no, dont interrupt the cycle. The machine is working, it, it knows what its doing. Just let it finish.'?",Jerry Seinfeld
Who said the quote: 'Youre gonna overdry it.'?,George Costanza
"Who said the quote: 'You, you cant overdry.'?",Jerry Seinfeld
Who said the quote: 'Why not?'?,George Costanza
"Who said the quote: 'Same as you cant overwet. You see, once something is wet, its wet. Same thing with death. Like once you die youre dead, right? Lets say you drop dead and I shoot you. Youre not gonna die again, youre already dead. You cant overdie, you cant overdry.'?",Jerry Seinfeld
Who said the quote: '(to the other laundry patrons) Any questions?'?,George Costanza
Who said the quote: 'How could she not tell me where she was staying?'?,Jerry Seinfeld
Who said the quote: 'Look at that. Theyre done!'?,George Costanza
"Who said the quote: 'Laundry day is the only exciting day in the life of clothes. It is...yknow, think about it. The washing machine is the nightclub of clothes. You know, its dark, theres bubbles happening, theyre all kinda dancing around in there- shirt grabs the underwear, Cmon babe, lets go. You come by, you open up the lid and theyll- (stiffens up, as the clothes) Socks are the most amazing article of clothing. They hate their lives, theyre in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, Tomorrow, the dryer, Im goin. You wait here! The dryer door swings open and the sock is waiting up against the side wall. He hopes you dont see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So theyre showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isnt your biggest problem right now. You gotta get the harpoon out your chest first.'?",Jerry Seinfeld
"Who said the quote: '(answering, quickly) If you know what happened in the Met game, dont say anything, I taped it, hello. Yeah, no, Im sorry, you have the wrong number. Yeah, no'?",Jerry Seinfeld
Who said the quote: '(to the door) Yeah?'?,Jerry Seinfeld
"Who said the quote: '(to Kessler) Yeah. (to the phone) Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem.'?",Jerry Seinfeld
"Who said the quote: '(upset) Ohhhh, what are you doing? Kessler, its a tape! I taped the game, its one oclock in the morning! I avoided human contact all night to watch this.'?",Jerry Seinfeld
"Who said the quote: 'Meat? I dont, I dont know, go... hunt! (Kessler opens the refrigerator and sticks his head in.) Well what happened in the game anyway?'?",Jerry Seinfeld
Who said the quote: '(cynical) Yeah you almost went to the game. You havent been out of the building in ten years!'?,Jerry Seinfeld
Who said the quote: 'No.'?,Jerry Seinfeld
"Who said the quote: 'Yeah, yeah...you can have it tomorrow.'?",Jerry Seinfeld
"Who said the quote: 'No, its okay now, that, that girl is not comin. Uh, I misread the whole thing.'?",Jerry Seinfeld
Who said the quote: 'I dont think so.'?,Jerry Seinfeld
"Who said the quote: 'That close, huh?'?",Jerry Seinfeld
"Who said the quote: 'Hello...Oh, hi, Laura.'?",Jerry Seinfeld
"Who said the quote: '(to the phone) No believe me, Im always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me...'?",Jerry Seinfeld
"Who said the quote: 'No, its, its just my neighbour... Um... Yeah, I got it. (Jerry takes a pencil and a cereal box to write on.) Ten-fifteen... No, dont be silly, go ahead and ask... Yeah, sure... Okay, great, no no, its no trouble at all... Ill see you tomorrow... Great, bye. (He hangs up the phone; to Kessler) I dont believe it. That was her. She wants to stay here!'?",Jerry Seinfeld
"Who said the quote: 'If my father was moving this hed had to have a cigarette in his mouth the whole way. (as his father) 'Have you got your end?...Your ends got to come down first, easy now, drop it down...drop it down, your ends got to come down.''?",Jerry Seinfeld
"Who said the quote: 'You know, I cant believe youre bringin in an extra bed for woman that wants to sleep with you. Why dont you bring in an extra guy too?'?",George Costanza
"Who said the quote: 'Look, its a very awkward situation. I dont wanna be presumptuous.'?",Jerry Seinfeld
"Who said the quote: 'All right, all right, one more time, one more time! What was the exact phrasing of the request?'?",George Costanza
"Who said the quote: 'All right, she said she couldnt find a decent hotel room...'?",Jerry Seinfeld
Who said the quote: 'A decent hotel-room...'?,George Costanza
"Who said the quote: 'Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place.'?",Jerry Seinfeld
"Who said the quote: 'You cant be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag? (waving his handkerchief) This is the signal, Jerry, this is the signal!'?",George Costanza
"Who said the quote: '(cynical) This is the signal? Thank you, Mr. Signal. Where were you yesterday?'?",Jerry Seinfeld
Who said the quote: 'I think I was affected by the caffeine.'?,George Costanza
"Who said the quote: 'Ho, ho, ho, good dog, good dog...'?",George Costanza
"Who said the quote: 'Well, thats flattering.'?",George Costanza
Who said the quote: 'Yeah.'?,Jerry Seinfeld
"Who said the quote: 'This is a person I like, its not How to score on spring break.'?",Jerry Seinfeld
"Who said the quote: 'Right, can we go? Cause Im double-parked, Im gonna get a ticket.'?",George Costanza
"Who said the quote: 'Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom.'?",Jerry Seinfeld
Who said the quote: 'So what? Thats good.'?,George Costanza
"Who said the quote: 'Now, how could that be good?'?",Jerry Seinfeld
"Who said the quote: 'Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, Ive gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.'?",George Costanza
Who said the quote: 'This is how you operate?'?,Jerry Seinfeld
"Who said the quote: 'Yeah, I wish.'?",George Costanza
Who said the quote: 'Let me just wipe the sink.'?,Jerry Seinfeld
Who said the quote: 'Yeah.'?,George Costanza
"Who said the quote: '(feeling awkward) Its uh, not bad, its comin along. Why? Did you need something.'?",George Costanza
Who said the quote: 'Do you handle any of that commercial...real estate?'?,Cosmo Kramer
"Who said the quote: 'Well, I might be getting into that.'?",George Costanza
"Who said the quote: 'Im aware of you. (to Jerry) All right, lets go (opens the bathroom door) Lets go!'?",George Costanza
"Who said the quote: 'The dating world is not a fun world...its a pressure world, its a world of tension, its a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, cause she needs things. Women need equipment. I dont know what they need. I know I dont have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one Im- always has been one of the amazing things to me...I have no cotton-balls, were all human beings, what is the story? Ive never had one...I never bought one, I never needed one, Ive never been in a situation, when I thought to myself I could use a cotton-ball right now. I can certainly get out of this mess. Women need them and they dont need one or two, they need thousands of them, they need bags, theyre like peat moss bags, have you ever seen these giant bags? Theyre huge and two days later, theyre out, theyre gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin with them? The only time I ever see em is in the bottom of your little waste basket, theres two or three, that look like theyve been through some horrible experience... tortured, interrogated, I dont know what happened to them. I once went out with a girl whos left a little zip-lock-baggy of cotton-balls over at my house. I dont know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town. Lets move on. The dating world is a world of pressure. Lets face it a date is a job interview that lasts all night. The only difference between a date and a job interview is not many job interviews is there a chance youll end up naked at the end of it. You know? Well, Bill, the boss thinks youre the man for the position, why dont you strip down and meet some of the people youll be workin with?'?",Jerry Seinfeld
Who said the quote: 'Wouldnt it be great if you could ask a woman what shes thinking?'?,Jerry Seinfeld
"Who said the quote: 'What a world that would be, if you just could ask a woman what shes thinkin.'?",George Costanza
"Who said the quote: 'You know, instead, Im like a detective. I gotta pick up clues, the whole thing is a murder investigation.'?",Jerry Seinfeld
"Who said the quote: 'Listen, listen, dont get worked up, cause youre gonna know the whole story the minute she steps off the plane.'?",George Costanza
Who said the quote: 'Really? How?'?,Jerry Seinfeld
Who said the quote: 'Cause its all in the greeting.'?,George Costanza
Who said the quote: 'Uh-huh.'?,Jerry Seinfeld
"Who said the quote: 'All right, if she puts the bags down before she greets you, thats a good sign.'?",George Costanza
Who said the quote: 'Right.'?,Jerry Seinfeld
"Who said the quote: 'You know, anything in the, in the lip area is good.'?",George Costanza
Who said the quote: 'Lip area.'?,Jerry Seinfeld
Who said the quote: 'You know a hug definitely good.'?,George Costanza
Who said the quote: 'Hug is definitely good.'?,Jerry Seinfeld
Who said the quote: 'Sure.'?,George Costanza
"Who said the quote: 'Although what if its one of those hugs where the shoulders are touching, the hips are eight feet apart?'?",Jerry Seinfeld
"Who said the quote: 'Thats so brutal, I hate that.'?",George Costanza
Who said the quote: 'You know how they do that?'?,Jerry Seinfeld
"Who said the quote: 'Thats why, you know, a shake is bad.'?",George Costanza
"Who said the quote: 'Shake is bad, but what if its the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?'?",Jerry Seinfeld
Who said the quote: 'Hand sandwich.'?,George Costanza
Who said the quote: 'Right.'?,Jerry Seinfeld
"Who said the quote: 'I see, well, thats open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes.'?",George Costanza
"Who said the quote: 'Hey, hey.'?",Jerry Seinfeld
Who said the quote: 'Its good to see you.'?,Jerry Seinfeld
Who said the quote: 'This is my friend George.'?,Jerry Seinfeld
"Who said the quote: 'Hi, how are you?'?",George Costanza
Who said the quote: 'This is Laura.'?,Jerry Seinfeld
"Who said the quote: 'Laura, sure.'?",George Costanza
Who said the quote: '(to Laura) I cant believe youre here.'?,Jerry Seinfeld
"Who said the quote: '(aside, to George) Now that was an interesting greeting, did you notice that, George?'?",Jerry Seinfeld
"Who said the quote: 'Yes, the surprise blindfold greeting. That wasnt in the manual, I dont know.'?",George Costanza
"Who said the quote: 'So uh, what do you think?'?",Jerry Seinfeld
"Who said the quote: 'Yeah, it kind a motivates me to work on the road. So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt.) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?'?",Jerry Seinfeld
"Who said the quote: 'Uh, yeah, I think I do.'?",Jerry Seinfeld
"Who said the quote: 'Uh, no, yeah, go right ahead.'?",Jerry Seinfeld
"Who said the quote: 'Uh, yeah, yeah, sure, why dont you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?'?",Jerry Seinfeld
Who said the quote: 'Really? What would you like to do?'?,Jerry Seinfeld
"Who said the quote: '(unenthusiastic) Yeah, we could do that...why not, why not. (pouring the wine) Im just, Im really glad youre here.'?",Jerry Seinfeld
"Who said the quote: '(answering) Yeah, hello...yes...yes, she is, hold on. (to Laura) Um, its for you.'?",Jerry Seinfeld
Who said the quote: '(not excited) Youre engaged?'?,Jerry Seinfeld
Who said the quote: 'Youre engaged?'?,Jerry Seinfeld
Who said the quote: '(matter-of-factly) Youre engaged.'?,Jerry Seinfeld
Who said the quote: 'Yeah.'?,Jerry Seinfeld
Who said the quote: 'Me too!'?,Jerry Seinfeld
"Who said the quote: 'I swear, I have absolutely no idea what women are thinking. I dont get it, okay? I, I, I admit, I, Im not getting the signals. I am not getting it! Women, theyre so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, thats it! Its the only thing we know for sure, it really is. We want women. How do we get them? Oh, we dont know bout that, we dont know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas weve had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! I dont think she likes me. The amazing thing is, that we still get women, dont we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. Thats why, I think, men get frustrated, when we see women reading articles, like Where to meet men? Were here, we are everywhere. Were honking our horns to serve you better.'?",Jerry Seinfeld
"Who said the quote: 'So, Im on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the...'?",Jerry Seinfeld
"Who said the quote: 'Cheque. Now, the fact is, if its a woman in front of you thats writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, yknow, cause they write out so many cheques. The keys, they can never find in their purse, they dont know where that is, but the cheque book they got that. They never fumble for the cheque book. The cheque book comes out of a holster (Jerry draws imaginary book from a holster.) Who do I make it out to? Theres my ID. Theres something about a cheque that, to a man, is not masculine. I dont know exactly what it is. I think to a man, a cheque is like a note from your mother that says, I dont have any money, but if youll contact these people, Im sure theyll stick up for me... If you just trust me this one time- I dont have any money but I have these. I wrote on these. Is this of any value at all?'?",Jerry Seinfeld
Who said the quote: 'Whats that one?'?,Jerry Seinfeld
Who said the quote: 'Coccoon II The Return. I guess they didnt like it up there.'?,Elaine Benes
"Who said the quote: 'Maybe they came back for Chinese food. Yknow Maureen Stapleton, if she gets a craving, shes probably screamin at those aliens, I gotta have a lo mein!'?",Jerry Seinfeld
"Who said the quote: 'Okay, whatre we doing here? I have seen everything.'?",Elaine Benes
Who said the quote: 'Oh yeah? I dont believe youve seen... this.'?,Jerry Seinfeld
"Who said the quote: 'Oh, lovely.'?",Elaine Benes
Who said the quote: 'Yeah.'?,Jerry Seinfeld
Who said the quote: 'What do you think their parents think?'?,Elaine Benes
"Who said the quote: 'So, uh, whats your son doing now, Dr. Stevens? Oh, hes a public fornicator. Yes, hes a fine boy...'?",Jerry Seinfeld
Who said the quote: 'Yknow what? This would be a really funny gift for Pamelas birthday.'?,Elaine Benes
Who said the quote: 'Pamela? Do I know her?'?,Jerry Seinfeld
"Who said the quote: 'Yeah, you met her when we were going out.'?",Elaine Benes
"Who said the quote: 'Oh yeah, right...'?",Jerry Seinfeld
"Who said the quote: 'You have no idea who Im talking about, do you?'?",Elaine Benes
Who said the quote: '(quickly) No.'?,Jerry Seinfeld
"Who said the quote: 'Blonde hair, remember? Glasses? (pause) Have you totally blocked out the entire time we were a couple?'?",Elaine Benes
Who said the quote: '(a lightbulb goes on in his head) Riverside Drive.'?,Jerry Seinfeld
"Who said the quote: 'Right! In fact... No, never mind...'?",Elaine Benes
"Who said the quote: 'Well, what is it?'?",Jerry Seinfeld
"Who said the quote: 'Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... (Jerry turns in disgust) you dont want to go to... that... no.'?",Elaine Benes
"Who said the quote: 'Wait a second, wait a second. We could work out a little deal here.'?",Jerry Seinfeld
Who said the quote: 'What little deal?'?,Elaine Benes
"Who said the quote: 'I will go to that, if you go with me to a little family wedding I have on Saturday.'?",Jerry Seinfeld
"Who said the quote: 'A wedding? Have you lost it, man?'?",Elaine Benes
"Who said the quote: 'Yknow, my parents are coming in for this...'?",Jerry Seinfeld
Who said the quote: 'Theyre coming in?'?,Elaine Benes
"Who said the quote: 'Yeah, tomorrow.'?",Jerry Seinfeld
"Who said the quote: 'Hey, did your father ever get that hair weave?'?",Elaine Benes
"Who said the quote: 'No, no. Still doin the big sweep across.'?",Jerry Seinfeld
Who said the quote: 'Why does he do that?'?,Elaine Benes
"Who said the quote: 'Doesnt think anyone can tell. So cmon, do we have a deal?'?",Jerry Seinfeld
Who said the quote: 'A wedding?'?,Elaine Benes
Who said the quote: 'Theres a lot of people to mock...'?,Jerry Seinfeld
"Who said the quote: 'All right, what the hell.'?",Elaine Benes
Who said the quote: 'Great!'?,Jerry Seinfeld
Who said the quote: 'Cmon lets go...'?,Elaine Benes
Who said the quote: 'Was I supposed to bring something?'?,Jerry Seinfeld
Who said the quote: 'You could have.'?,Elaine Benes
Who said the quote: 'I met her one time...'?,Jerry Seinfeld
Who said the quote: 'It is not necessary.'?,Elaine Benes
Who said the quote: 'What did you say then?'?,Jerry Seinfeld
Who said the quote: 'Sssshhhhhh!!!'?,Elaine Benes
"Who said the quote: 'Hi, Pamela, you remember Jerry.'?",Elaine Benes
"Who said the quote: 'Hi, happy birthday.'?",Jerry Seinfeld
Who said the quote: 'I didnt bring anything.'?,Jerry Seinfeld
"Who said the quote: 'Oh, Okay (turns to rest of table) Im sorry, I didnt know what to bring, nobody told me.'?",Jerry Seinfeld
Who said the quote: 'Im in for five...'?,Jerry Seinfeld
Who said the quote: '(thinking) Uh-oh... What do we have here?'?,Jerry Seinfeld
"Who said the quote: 'Oh, I cant. Uh, I have a tendency to get chilly.'?",Jerry Seinfeld
"Who said the quote: 'Plus Im wearing short sleeves, I dont want to expose my tattoos. (Vanessa smiles; thinking) Shes unbelievable!'?",Jerry Seinfeld
"Who said the quote: '(thinking) Whats going on here? Gotta be her boyfriend, shes too good to be alone. Whats the difference, I cant maneouver anyway with Elaine next to me.'?",Jerry Seinfeld
"Who said the quote: 'Uh, friend of a friend. And you?'?",Jerry Seinfeld
"Who said the quote: '(interrupting Jerry's conversation) Oh, Jerry!'?",Elaine Benes
"Who said the quote: '(turning to Elaine; thinking) Oh no, not now.'?",Jerry Seinfeld
Who said the quote: 'I had this dream last night and you were in it.'?,Elaine Benes
"Who said the quote: 'Oh really? (tries turning away in the hopes Elaine gets the hint; thinking) Oh God, I gotta get out of this.'?",Jerry Seinfeld
"Who said the quote: 'You were you, but, you werent you...'?",Elaine Benes
"Who said the quote: 'No kidding. (thinking) Why is this happening? Please, make her stop!'?",Jerry Seinfeld
"Who said the quote: 'I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window...'?",Elaine Benes
Who said the quote: '(thinking) This is brutal.'?,Jerry Seinfeld
Who said the quote: 'You turned around and you had these wooden teeth.'?,Elaine Benes
"Who said the quote: 'How do you like that? (tries to turn away again; thinking)Can I turn now? Is this over? No, I cant, I cant. Im stuck.'?",Jerry Seinfeld
Who said the quote: '(noticing Jerry not wanting to listen; annoyed) Jerry? Are you listening to me?'?,Elaine Benes
"Who said the quote: 'Yes, I heard you.'?",Jerry Seinfeld
"Who said the quote: '(thinking) Thank you, Pamela! (turns to talk to Vanessa; to Vanessa) So, youre a lawyer...'?",Jerry Seinfeld
"Who said the quote: '(thinking) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft... (to Vanessa) Of course, they handled my tattoo removal lawsuit.'?",Jerry Seinfeld
"Who said the quote: 'Imagine, spelling Mom with two Os.'?",Jerry Seinfeld
Who said the quote: 'Comedian.'?,Jerry Seinfeld
"Who said the quote: '(thinking; quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft.'?",Jerry Seinfeld
"Who said the quote: '(thinking) I cant believe it. I got nothing! I dont even know her name! Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag...'?",Jerry Seinfeld
"Who said the quote: 'That wasnt so bad, really.'?",Jerry Seinfeld
"Who said the quote: 'Yknow, um, you could use a little work on your manners.'?",Elaine Benes
Who said the quote: 'Why? What did I do?'?,Jerry Seinfeld
"Who said the quote: 'Wel-Well, I just dont appreciate these little courtesy responses, like Im selling you aluminum siding.'?",Elaine Benes
Who said the quote: 'I was listening!'?,Jerry Seinfeld
Who said the quote: 'No! You couldnt wait to get back to your little... conversation.'?,Elaine Benes
"Who said the quote: 'No, you were talking about the, the um, the dream you had.'?",Jerry Seinfeld
Who said the quote: 'Uh-huh...'?,Elaine Benes
"Who said the quote: 'Where you had, uh, wooden teeth.'?",Jerry Seinfeld
"Who said the quote: 'No! No! You had wooden teeth! You had wooden teeth! I didnt have wooden teeth, you did!'?",Elaine Benes
"Who said the quote: 'All right, so I had wooden teeth, so what?'?",Jerry Seinfeld
Who said the quote: 'So nothing! Nothing. (annoyed sigh)'?,Elaine Benes
"Who said the quote: 'Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said, Yeah, I got this new thing Platonic. My idea, my name, callin it after myself. What I do is, I go out with the girls, I talk with them- dont do anything, and go right home. Whatd you think? I think its going to be big! I bet you there were other guys in history that tried to get relationships named after them, but it didnt work. Yknow, I bet you there were guys who tried to do it, just went, Uh, Hi, uh my names Rico. Would you like to go to bed immediately? Hey, its a Riconic relationship.'?",Jerry Seinfeld
Who said the quote: 'Hey!'?,Jerry Seinfeld
"Who said the quote: 'This is what I like, see? You come home and your parents are in your bed!'?",Jerry Seinfeld
"Who said the quote: 'What are you talkin about? Its fine, I love having you here.'?",Jerry Seinfeld
"Who said the quote: 'Ma, will you stop?'?",Jerry Seinfeld
Who said the quote: 'I dont care. Im sleeping next door.'?,Jerry Seinfeld
"Who said the quote: 'No, hes making a bouillabaisse.'?",Jerry Seinfeld
"Who said the quote: 'So, dad, lemme ask you a question. How many people work at these big law offices?'?",Jerry Seinfeld
"Who said the quote: 'Yeah, but if you called up and described someone, do you think they would know who it was?'?",Jerry Seinfeld
"Who said the quote: 'No, I met someone at this party, and I know where she works, but I dont know her name.'?",Jerry Seinfeld
"Who said the quote: 'Nah, the only one I could ask is Elaine, and I cant ask her.'?",Jerry Seinfeld
Who said the quote: 'Because its complicated. Theres some tension there.'?,Jerry Seinfeld
"Who said the quote: 'Oh yeah, shes great.'?",Jerry Seinfeld
"Who said the quote: 'Well, its a tough thing to talk about uh. I dunno...'?",Jerry Seinfeld
Who said the quote: 'You dont know what it was.'?,Jerry Seinfeld
"Who said the quote: 'Well, we fight a lot for some reason.'?",Jerry Seinfeld
Who said the quote: 'And there was a little problem with the physical chemistry.'?,Jerry Seinfeld
"Who said the quote: 'Oh, she is, she absolutely is.'?",Jerry Seinfeld
"Who said the quote: 'No, its not that. It wasnt all one-sided.'?",Jerry Seinfeld
"Who said the quote: 'I know, I know...'?",Jerry Seinfeld
