Question,Answer
Who is the writer of the episode titled 'The Subway'?,Larry David
Who is the writer of the episode titled 'The Pez Dispenser'?,Larry David
Who is the writer of the episode titled 'The Suicide'?,Tom Leopold
Who is the writer of the episode titled 'The Fix-Up'?,"Elaine Pope, Larry Charles"
Who is the writer of the episode titled 'The Boyfriend (1)'?,Larry David and Larry Levin
Who is the writer of the episode titled 'The Boyfriend (2)'?,Larry David and Larry Levin
Who is the writer of the episode titled 'The Limo'?,Larry Charles / Story By Marc Jaffe
Who is the writer of the episode titled 'The Good Samaritan'?,Peter Mehlman
Who is the writer of the episode titled 'The Letter'?,Larry David
Who is the writer of the episode titled 'The Parking Space'?,Larry David and Greg Daniels
Who is the writer of the episode titled 'The Keys'?,Larry Charles
Who is the writer of the episode titled 'The Trip (1)'?,Larry Charles
Who is the writer of the episode titled 'The Trip (2)'?,Larry Charles
Who is the writer of the episode titled 'The Pitch'?,Larry Charles
Who is the writer of the episode titled 'The Ticket'?,Larry David
Who is the writer of the episode titled 'The Wallet (1)'?,Larry David
Who is the writer of the episode titled 'The Watch (2)'?,Larry David
Who is the writer of the episode titled 'The Bubble Boy'?,"Larry David, Larry Charles"
Who is the writer of the episode titled 'The Cheever Letters'?,"Larry David, Larry Charles"
Who is the writer of the episode titled 'The Opera'?,Larry Charles
Who is the writer of the episode titled 'The Virgin'?,Peter Mehlman
Who is the writer of the episode titled 'The Contest'?,Larry David
Who is the writer of the episode titled 'The Airport'?,Larry Charles
Who is the writer of the episode titled 'The Pick'?,Larry Charles
Who is the writer of the episode titled 'The Movie'?,"Steve Skrovan, Bill Masters, Jon Hayman"
Who is the writer of the episode titled 'The Visa'?,Peter Mehlman
Who is the writer of the episode titled 'The Shoes'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Outing'?,Larry Charles
Who is the writer of the episode titled 'The Old Man'?,Bruce Kirschbaum
Who is the writer of the episode titled 'The Implant'?,Peter Mehlman
Who is the writer of the episode titled 'The Junior Mint'?,Andy Robin
Who is the writer of the episode titled 'The Smelly Car'?,"Larry David, Peter Mehlman"
Who is the writer of the episode titled 'The Handicap Spot'?,Larry David
Who is the writer of the episode titled 'The Pilot (1)'?,Larry David
Who is the writer of the episode titled 'The Pilot (2)'?,Larry David
Who is the writer of the episode titled 'The Mango'?,"Lawrence H. Levy, Buck Dancer (Larry David pseudonym)"
Who is the writer of the episode titled 'The Puffy Shirt'?,Larry David
Who is the writer of the episode titled 'The Glasses'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Sniffing Accountant'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Bris'?,Larry Charles
Who is the writer of the episode titled 'The Lip Reader'?,Carol Leifer
Who is the writer of the episode titled 'The Non-Fat Yogurt'?,Larry David
Who is the writer of the episode titled 'The Barber'?,Andy Robin
Who is the writer of the episode titled 'The Masseuse'?,Peter Mehlman
Who is the writer of the episode titled 'The Cigar Store Indian'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Conversion'?,Bruce Kirschbaum
Who is the writer of the episode titled 'The Stall'?,Larry Charles
Who is the writer of the episode titled 'The Dinner Party'?,Larry David
Who is the writer of the episode titled 'The Marine Biologist'?,"Ron Hague, Charlie Rubin"
Who is the writer of the episode titled 'The Pie'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Stand-In'?,Larry David
Who is the writer of the episode titled 'The Wife'?,Peter Mehlman
Who is the writer of the episode titled 'The Raincoats'?,"Tom Gammill, Max Pross and Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Fire'?,Larry Charles
Who is the writer of the episode titled 'The Hamptons'?,"Peter Mehlman, Carol Leifer"
Who is the writer of the episode titled 'The Opposite'?,"Andy Cowan and Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Chaperone'?,"Larry David, Bill Masters, Bob Shaw"
Who is the writer of the episode titled 'The Big Salad'?,Larry David
Who is the writer of the episode titled 'The Pledge Drive'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Chinese Woman'?,Peter Mehlman
Who is the writer of the episode titled 'The Couch'?,Larry David
Who is the writer of the episode titled 'The Gymnast'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Soup'?,Fred Stoller
Who is the writer of the episode titled 'The Mom &amp; Pop Store'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Secretary'?,"Carol Leifer, Marjorie Gross"
Who is the writer of the episode titled 'The Race'?,"Tom Gammill, Max Pross and Larry David"
Who is the writer of the episode titled 'The Switch'?,Bruce Kirschbaum and Sam Kass
Who is the writer of the episode titled 'The Label Maker'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Scofflaw'?,Peter Mehlman
Who is the writer of the episode titled 'The Beard'?,Carol Leifer
Who is the writer of the episode titled 'The Kiss Hello'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Doorman'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Jimmy'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Doodle'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Fusilli Jerry'?,Marjorie Gross
Who is the writer of the episode titled 'The Diplomat's Club'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Face Painter'?,Larry David
Who is the writer of the episode titled 'The Understudy'?,"Marjorie Gross, Carol Leifer"
Who is the writer of the episode titled 'The Engagement'?,Larry David
Who is the writer of the episode titled 'The Postponement'?,Larry David
Who is the writer of the episode titled 'The Maestro'?,Larry David
Who is the writer of the episode titled 'The Wink'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Hot Tub'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Soup Nazi'?,Spike Feresten
Who is the writer of the episode titled 'The Secret Code'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Pool Guy'?,David Mandel
Who is the writer of the episode titled 'The Sponge'?,Peter Mehlman
Who is the writer of the episode titled 'The Gum'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Rye'?,Carol Leifer
Who is the writer of the episode titled 'The Caddy'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Seven'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Cadillac (1)'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Cadillac (2)'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Shower Head'?,"Peter Mehlman, Marjorie Gross"
Who is the writer of the episode titled 'The Doll'?,"Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Friars Club (a.k.a. The Gypsies)'?,David Mandel
Who is the writer of the episode titled 'The Wig Master'?,Spike Feresten
Who is the writer of the episode titled 'The Calzone'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Bottle Deposit (1)'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Bottle Deposit (2)'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Wait Out'?,Peter Mehlman
Who is the writer of the episode titled 'The Invitations'?,Larry David
Who is the writer of the episode titled 'The Foundation'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Soul Mate'?,Peter Mehlman
Who is the writer of the episode titled 'The Bizarro Jerry'?,David Mandel
Who is the writer of the episode titled 'The Little Kicks'?,Spike Feresten
Who is the writer of the episode titled 'The Package'?,Jennifer Crittenden
Who is the writer of the episode titled 'The Fatigues'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Checks'?,"Steve O'Donnell and Tom Gammill, Max Pross"
Who is the writer of the episode titled 'The Chicken Roaster'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Abstinence'?,Steve Koren
Who is the writer of the episode titled 'The Andrea Doria'?,Spike Feresten
Who is the writer of the episode titled 'The Little Jerry'?,Jennifer Crittenden
Who is the writer of the episode titled 'The Money'?,Peter Mehlman
Who is the writer of the episode titled 'The Comeback'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Van Buren Boys'?,Darin Henry
Who is the writer of the episode titled 'The Susie'?,David Mandel
Who is the writer of the episode titled 'The Pothole'?,Steve O'Donnell and Dan O'Keefe
Who is the writer of the episode titled 'The English Patient'?,Steve Koren
Who is the writer of the episode titled 'The Nap'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Yada Yada'?,Peter Mehlman and Jill Franklyn
Who is the writer of the episode titled 'The Millennium'?,Jennifer Crittenden
Who is the writer of the episode titled 'The Muffin Tops'?,Spike Feresten
Who is the writer of the episode titled 'The Summer of George'?,"Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Butter Shave'?,"Alec Berg, Jeff Schaffer, David Mandel"
Who is the writer of the episode titled 'The Voice'?,"Alec Berg, Jeff Schaffer, David Mandel"
Who is the writer of the episode titled 'The Serenity Now'?,Steve Koren
Who is the writer of the episode titled 'The Blood'?,Dan O'Keefe
Who is the writer of the episode titled 'The Junk Mail'?,Spike Feresten
Who is the writer of the episode titled 'The Merv Griffin Show'?,Bruce Eric Kaplan
Who is the writer of the episode titled 'The Slicer'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Betrayal'?,"David Mandel, Peter Mehlman"
Who is the writer of the episode titled 'The Apology'?,Jennifer Crittenden
Who is the writer of the episode titled 'The Strike'?,"Dan O'Keefe, Alec Berg, Jeff Schaffer"
Who is the writer of the episode titled 'The Dealership'?,Steve Koren
Who is the writer of the episode titled 'The Reverse Peephole (a.k.a. The Man Fur)'?,Spike Feresten
Who is the writer of the episode titled 'The Cartoon'?,Bruce Eric Kaplan
Who is the writer of the episode titled 'The Strongbox'?,Dan O'Keefe
Who is the writer of the episode titled 'The Wizard'?,Steve Lookner
Who is the writer of the episode titled 'The Burning'?,Jennifer Crittenden
Who is the writer of the episode titled 'The Bookstore'?,Spike Feresten
Who is the writer of the episode titled 'The Frogger'?,"Gregg Kavet, Andy Robin"
Who is the writer of the episode titled 'The Maid'?,"Alec Berg, David Mandel, Jeff Schaffer"
Who is the writer of the episode titled 'The Puerto Rican Day'?,"Alec Berg, Jennifer Crittenden, Spike Feresten, Bruce Eric Kaplan, Gregg Kavet, Steve Koren, David Mandel, Dan O'Keefe, Andy Robin and Jeff Schaffer."
Who is the writer of the episode titled 'The Finale'?,Larry David
